mapping ring_mp3 timeout 1000.0003 47439683 1446
mario mario_medium_1 timeout 1000.0003 26169640 1284
mario mario_medium_3 timeout 1000.0003 25665331 1401
mario mario_medium_4 timeout 1000.0003 25928658 1012
mario mario_medium_5 sat 193.34529 4567103 1035
mario mario_n_medium_1 sat 135.6854 3365772 1062
neighbours neighbours1 sat 331.38425 17484032 63
neighbours neighbours3 timeout 1000.0003 112037060 71
neighbours neighbours5 timeout 1000.00037 115976728 55
neighbours neighbours7 timeout 1000.0004 57184124 35
neighbours neighbours9 timeout 1000.0003 124212111 35
on-call-rostering 10s-100d-C timeout 1000.00037 58708877 47
on-call-rostering 20s-100d-B timeout 1000.0003 10992234 61
on-call-rostering 2s-200d timeout 1000.00037 27835341 68
on-call-rostering 30s-400d-A timeout 1000.00037 11512937 295
on-call-rostering 4s-100d timeout 1000.0003 27839925 61
opd flener_et_al_15_350_100 timeout 1000.00037 10048130 77
opd medium_13_250_80 timeout 1000.0004 12270921 55
opd small_bibd_06_50_25 sat 247.09659 18892536 10
opd small_bibd_06_60_30 timeout 1000.0003 76140729 13
opd small_bibd_08_28_14 sat 447.9525 29578359 6
opt-cryptanalysis2017 r11 timeout 1000.0003 8040616 56
opt-cryptanalysis2017 r15 timeout 1000.00055 4884300 65
opt-cryptanalysis2017 r5 timeout 1000.00037 24765265 20
opt-cryptanalysis2017 r7 timeout 1000.0006 8755084 28
opt-cryptanalysis2017 r9 timeout 1000.00037 6931978 36
opt-cryptanalysis2018 r10 timeout 1000.0003 8170703 44
opt-cryptanalysis2018 r12 timeout 1000.0004 7741476 60
opt-cryptanalysis2018 r14 timeout 1000.0007 5836402 65
opt-cryptanalysis2018 r6 timeout 1000.00024 13767603 24
opt-cryptanalysis2018 r8 timeout 1000.00055 7443807 32
racp j30_13_6_1.25 timeout 1000.0003 7939849 1531
racp j30_14_7_1.25 timeout 1000.00037 7432283 1800
racp j30_26_2_1.0 sat 431.0397 3196599 704
racp j60_14_7_1.25 timeout 1000.00055 2168597 4282
racp j60_29_10_1.0 timeout 1000.00037 3613026 3438
rel2onto 3_9 sat 149.734 289998 70802
rel2onto 5_17 timeout 1000.00024 1478888 152691
rel2onto 5_28 timeout 1000.0007 1262029 167732
rel2onto 5_5 timeout 1000.00037 1208212 161783
rel2onto 5_6 timeout 1000.00037 1593484 149034
road-cons road_17 timeout 1000.0088 47727 136000001
road-cons road_18 timeout 1000.0354 46200 15036443
road-cons road_25 timeout 1000.01666 59295 16675
road-cons road_26 timeout 1000.0125 31277 29930
rspsp-wet j30_1_3-wet timeout 1000.00037 19527270 146
rspsp-wet j30_43_10-wet timeout 1000.0003 6050204 154
rspsp-wet j60_19_6-wet timeout 1000.00037 11301366 550
rspsp-wet j60_28_3-wet timeout 1000.0002 4918553 590
rspsp-wet j90_48_4-wet timeout 1000.00055 5175054 1644
seat-moving sm-10-12-00 timeout 1000.0004 15541748 554
seat-moving sm-10-20-05 timeout 1000.00037 21371122 137
seat-moving sm-15-12-00 timeout 1000.00037 11675869 1651
seat-moving sm-15-20-00 timeout 1000.00037 16079331 207
seat-moving sm-20-20-00 timeout 1000.00037 23897731 287
steelmillslab bench_13_0 timeout 1000.0004 1934463 27
